rank,id,name_en,name_zh,role_en,role_zh,org,region_en,category,tier,score_total,posts,news,tags
16,daniela-amodei,Daniela Amodei,Daniela Amodei,"Co-founder & President, Anthropic",Anthropic 联合创始人兼总裁,Anthropic,United States,lab,t2,74.7,15,6,Anthropic|IPO|Operations|Policy
17,liang-rubo,Liang Rubo,梁汝波,"CEO, ByteDance",字节跳动 CEO,ByteDance,China,lab,t2,74.7,2,65,ByteDance|Doubao|Seed|Volcano Engine|MaaS
18,mustafa-suleyman,Mustafa Suleyman,Mustafa Suleyman,EVP & CEO of Microsoft AI; Head of MAI Superintelligence Team,Microsoft AI 执行副总裁兼 CEO；MAI 超级智能团队负责人,Microsoft AI,United Kingdom,lab,t2,71.9,61,28,Microsoft AI|MAI|Copilot|Superintelligence|DeepMind
19,greg-brockman,Greg Brockman,Greg Brockman,"Co-founder & President, OpenAI",OpenAI 联合创始人兼总裁,OpenAI,United States,lab,t2,71.0,56,19,OpenAI|Infrastructure|Training clusters|IPO|Enterprise
20,koray-kavukcuoglu,Koray Kavukcuoglu,Koray Kavukcuoglu,Head of Google DeepMind (SVP),Google DeepMind 负责人（高级副总裁）,Google DeepMind,United Kingdom / Turkey,lab,t2,69.6,35,7,Google DeepMind|Gemini|WaveNet|Frontier research
21,liang-wenfeng,Liang Wenfeng,梁文锋,"Founder & CEO, DeepSeek; Founder, High-Flyer",DeepSeek 深度求索创始人兼 CEO；幻方量化创始人,DeepSeek,China,lab,t2,69.2,16,70,DeepSeek|V4 Pro|Open weights|MIT License|MoE
22,tang-jie,Tang Jie,唐杰,"Professor, Tsinghua University; Chief Scientist & Co-founder, Z.ai (Zhipu AI)",清华大学教授；智谱 Z.ai 首席科学家兼联合创始人,Z.ai (Zhipu AI),China,lab,t2,67.2,64,55,Z.ai|GLM|Tsinghua|Open source|HKEX listed
23,zhang-yiming,Zhang Yiming,张一鸣,"Founder, ByteDance",字节跳动创始人,ByteDance,China,lab,t2,67.1,2,77,ByteDance|Seed|AGI|No distillation|Long-termism
24,andrew-ng,Andrew Ng,吴恩达,"Founder, DeepLearning.AI; Managing General Partner, AI Fund; Adjunct Professor, Stanford",DeepLearning.AI 创始人；AI Fund 管理合伙人；斯坦福兼职教授,DeepLearning.AI / AI Fund,United States,research,t2,67.0,97,65,DeepLearning.AI|AI Fund|Coursera|LandingAI|Education
25,xiao-hong,Xiao Hong,肖弘,"Founder & CEO, Manus (Butterfly Effect)",Manus（蝴蝶效应）创始人兼 CEO,Manus,China / Singapore,product,t2,65.4,5,21,Manus|Monica|Agents|Singapore|Butterfly Effect
26,jeff-dean,Jeff Dean,Jeff Dean,"Co-founder, Discovery Loop",Discovery Loop 联合创始人,Discovery Loop,United States,lab,t2,64.8,64,18,Discovery Loop|AI for Science|TPU|Pathways|Gemini|New venture
27,lilian-weng,Lilian Weng,翁荔,"Recursive self-improvement research, OpenAI",OpenAI 递归自我改进研究,OpenAI,United States / China,lab,t2,64.5,73,46,OpenAI|Lil'Log|Safety Systems|Diffusion|Agents|RSI
28,yoshua-bengio,Yoshua Bengio,Yoshua Bengio,"Scientific Director, Mila; Professor, Université de Montréal; Founder, LawZero",Mila 科学主任；蒙特利尔大学教授；LawZero 创始人,Mila / LawZero,Canada,research,t2,63.8,109,27,Turing Award|LawZero|Scientist AI|AI Safety Report|Mila
29,geoffrey-hinton,Geoffrey Hinton,Geoffrey Hinton,"Professor Emeritus, University of Toronto",多伦多大学名誉教授,University of Toronto,Canada / United Kingdom,research,t2,63.7,78,39,Turing Award|Nobel Prize|Backpropagation|AI Risk|Governance
30,sualeh-asif,Sualeh Asif,Sualeh Asif,"Co-founder & CPO, Cursor (Anysphere) — a SpaceXAI subsidiary",Cursor（Anysphere）联合创始人兼 CPO —— SpaceXAI 子公司,Cursor / SpaceXAI,United States,product,t2,63.0,20,8,Cursor|Product|Tab completion|Agent mode|SpaceXAI
31,andrej-karpathy,Andrej Karpathy,Andrej Karpathy,"Pretraining team, Anthropic",Anthropic 预训练团队,Anthropic,United States / Slovakia,lab,t2,62.9,39,12,Anthropic|nanoGPT|Software 2.0|Vibe coding|Education|Eureka Labs
32,yang-zhilin,Yang Zhilin,杨植麟,"Founder & CEO, Moonshot AI",月之暗面 Moonshot AI 创始人兼 CEO,Moonshot AI,China,lab,t2,61.8,28,44,Moonshot AI|Kimi K3|Open weights|Long context|Transformer-XL
33,zhou-jingren,Zhou Jingren,周靖人,"Chief AI Architect, Alibaba; Head of Tongyi Large Model Division",阿里巴巴首席 AI 架构师；通义大模型事业部负责人,Alibaba,China,lab,t3,61.5,36,29,Alibaba|Qwen|Tongyi|Open weights|Agentic
34,peak-ji,Peak Ji,季逸超,"Co-founder & Chief Scientist, Manus (Butterfly Effect)",Manus（蝴蝶效应）联合创始人兼首席科学家,Manus,China / Singapore,product,t3,58.8,29,10,Manus|Context Engineering|Agents|Butterfly Effect|Magi
35,jim-fan,Jim Fan,范麟熙,"Director of AI & Distinguished Research Scientist, NVIDIA; Co-lead of GEAR Lab and Project GR00T",NVIDIA AI 总监兼杰出研究科学家；GEAR Lab 与 Project GR00T 联合负责人,NVIDIA,United States / China,embodied,t3,58.2,49,2,NVIDIA|GR00T|GEAR Lab|Voyager|Eureka|Humanoids
36,chris-olah,Chris Olah,Chris Olah,"Co-founder & Interpretability Research Lead, Anthropic",Anthropic 联合创始人兼可解释性研究负责人,Anthropic,United States,lab,t3,57.9,38,7,Anthropic|Interpretability|Distill|Feature visualization|Circuits
37,noam-shazeer,Noam Shazeer,Noam Shazeer,OpenAI,OpenAI,OpenAI,United States,lab,t3,57.6,48,19,OpenAI|Transformer|MoE|Multi-query attention|Character.AI
38,yan-junjie,Yan Junjie,闫俊杰,"Founder, Chairman & CEO, MiniMax",MiniMax 创始人、董事长兼 CEO,MiniMax,China,lab,t3,56.6,19,26,MiniMax|M2.5|Linear attention|Talkie|HKEX listed
39,arthur-mensch,Arthur Mensch,Arthur Mensch,"Co-founder & CEO, Mistral AI",Mistral AI 联合创始人兼 CEO,Mistral AI,France,lab,t3,56.3,61,7,Mistral|Open weights|Sovereign AI|Europe|Chips
40,scott-wu,Scott Wu,Scott Wu,"Co-founder & CEO, Cognition",Cognition 联合创始人兼 CEO,Cognition,United States,product,t3,54.1,33,5,Cognition|Devin|Windsurf|Coding agents
41,barret-zoph,Barret Zoph,Barret Zoph,OpenAI,OpenAI,OpenAI,United States,lab,t3,53.9,42,14,OpenAI|NAS|Switch Transformer|Post-training|ChatGPT
42,aravind-srinivas,Aravind Srinivas,Aravind Srinivas,"Co-founder & CEO, Perplexity AI",Perplexity AI 联合创始人兼 CEO,Perplexity,United States / India,product,t3,53.8,65,7,Perplexity|Comet|Answer engine|Search|Bixby
43,jared-kaplan,Jared Kaplan,Jared Kaplan,"Co-founder & Chief Science Officer, Anthropic",Anthropic 联合创始人兼首席科学官,Anthropic,United States,lab,t3,51.9,31,1,Anthropic|Scaling Laws|Claude|Theoretical physics
44,robin-li,Robin Li,李彦宏,"Founder, Chairman & CEO, Baidu",百度创始人、董事长兼 CEO,Baidu,China,platform,t3,51.8,5,57,Baidu|ERNIE|Kunlun|Apollo Go|DAA
45,john-schulman,John Schulman,John Schulman,"Chief Scientist, Thinking Machines Lab",Thinking Machines Lab 首席科学家,Thinking Machines Lab,United States,lab,t3,51.6,73,2,Thinking Machines|PPO|RLHF|ChatGPT|OpenAI co-founder
46,clement-delangue,Clément Delangue,Clément Delangue,"Co-founder & CEO, Hugging Face",Hugging Face 联合创始人兼 CEO,Hugging Face,United States / France,platform,t3,50.5,40,10,Hugging Face|Open models|Hub|AI security
47,kai-fu-lee,Kai-Fu Lee,李开复,"Chairman & CEO, Sinovation Ventures; Founder, 01.AI",创新工场董事长兼 CEO；零一万物 01.AI 创始人,01.AI / Sinovation,China,product,t3,50.0,79,43,01.AI|Yi|TrueNorth|Sovereign AI|Sinovation
48,noam-brown,Noam Brown,Noam Brown,"VP of Research, OpenAI",OpenAI 研究副总裁,OpenAI,United States,lab,t3,49.9,72,4,OpenAI|Libratus|Pluribus|Test-time compute|o-series|Self-play
49,jiang-daxin,Jiang Daxin,姜大昕,"Founder & CEO, StepFun",阶跃星辰 StepFun 创始人兼 CEO,StepFun,China,lab,t3,49.6,40,9,StepFun|Step series|Multimodal|Terminal AI|HK IPO
50,jakub-pachocki,Jakub Pachocki,Jakub Pachocki,"Chief Scientist, OpenAI",OpenAI 首席科学家,OpenAI,United States / Poland,lab,t3,49.1,33,6,OpenAI|o-series|GPT-5|Automated researcher|Reasoning
51,michael-truell,Michael Truell,Michael Truell,"Co-founder & CEO, Cursor (Anysphere) — a SpaceXAI subsidiary",Cursor（Anysphere）联合创始人兼 CEO —— SpaceXAI 子公司,Cursor / SpaceXAI,United States,product,t3,46.4,16,6,Cursor|Anysphere|Composer|SpaceXAI|Largest exit
52,david-silver,David Silver,David Silver,"Founder, Ineffable Intelligence; Professor, UCL",Ineffable Intelligence 创始人；UCL 教授,Ineffable Intelligence,United Kingdom,embodied,t3,45.3,24,10,Ineffable Intelligence|AlphaGo|AlphaZero|MuZero|Era of Experience|RL
53,aidan-gomez,Aidan Gomez,Aidan Gomez,"Co-founder & CEO, Cohere",Cohere 联合创始人兼 CEO,Cohere,Canada,product,t4,44.4,92,10,Cohere|Aleph Alpha|Sovereign AI|Enterprise|Transformer
54,kevin-scott,Kevin Scott,Kevin Scott,"CTO & EVP of AI, Microsoft",Microsoft CTO 兼 AI 执行副总裁,Microsoft,United States,platform,t4,44.3,51,1,Microsoft|Azure AI|OpenAI partnership|Maia
55,mark-chen,Mark Chen,Mark Chen,"Chief Research Officer, OpenAI",OpenAI 首席研究官,OpenAI,United States,lab,t4,43.8,45,2,OpenAI|Codex|DALL·E|Reasoning|Automated researcher
56,oriol-vinyals,Oriol Vinyals,Oriol Vinyals,"Co-founder, Discovery Loop",Discovery Loop 联合创始人,Discovery Loop,United Kingdom / Spain,lab,t4,41.8,66,2,Discovery Loop|AlphaStar|seq2seq|Gemini|New venture
57,amjad-masad,Amjad Masad,Amjad Masad,"Founder & CEO, Replit",Replit 创始人兼 CEO,Replit,United States / Jordan,product,t4,41.7,47,4,Replit|Agent 4|Vibe coding|Cloud IDE
58,nat-friedman,Nat Friedman,Nat Friedman,"Co-lead, Meta Superintelligence Labs (products & applied research)",Meta 超级智能实验室联席负责人（产品与应用研究）,Meta,United States,lab,t4,39.9,61,1,Meta|MSL|GitHub|Copilot|Open source
59,richard-sutton,Richard Sutton,Richard Sutton,"Professor, University of Alberta; Chief Scientific Advisor, Amii; Research Scientist, Keen Technologies",阿尔伯塔大学教授；Amii 首席科学顾问；Keen Technologies 研究科学家,U Alberta / Amii / Keen,Canada,research,t4,39.9,81,5,Turing Award|Reinforcement learning|Bitter Lesson|Alberta Plan|Era of Experience
60,wang-haifeng,Wang Haifeng,王海峰,"CTO, Baidu; Director, National Engineering Research Center of Deep Learning",百度 CTO；深度学习技术及应用国家工程研究中心主任,Baidu,China,lab,t4,38.1,20,3,Baidu|ERNIE|PaddlePaddle|NLP|ACL
61,aditya-ramesh,Aditya Ramesh,Aditya Ramesh,"VP of Research, OpenAI; lead of Worldsim",OpenAI 研究副总裁；Worldsim 负责人,OpenAI,United States,lab,t4,37.4,16,1,OpenAI|DALL·E|Worldsim|Robotics|Video generation
62,emad-mostaque,Emad Mostaque,Emad Mostaque,"Founder & CEO, Intelligent Internet",Intelligent Internet 创始人兼 CEO,Intelligent Internet,United Kingdom,product,t4,37.1,59,3,Intelligent Internet|Universal Basic AI|Sovereign AI|Stability AI
63,guillermo-rauch,Guillermo Rauch,Guillermo Rauch,"Founder & CEO, Vercel",Vercel 创始人兼 CEO,Vercel,United States / Argentina,product,t4,36.7,42,4,Vercel|Next.js|v0|AI Gateway|Frontend
64,kaiming-he,Kaiming He,何恺明,"Associate Professor, MIT EECS",MIT 电子工程与计算机科学系副教授,MIT,United States / China,research,t4,36.1,28,17,MIT|ResNet|Mask R-CNN|MAE|MoCo|Computer vision
65,wang-jian,Wang Jian,王坚,"Director, Zhejiang Lab; Founder, Alibaba Cloud; Academician, CAE",之江实验室主任；阿里云创始人；中国工程院院士,Zhejiang Lab,China,platform,t4,34.8,5,42,Zhejiang Lab|Alibaba Cloud|Intelligent computing|Space compute|CAE
66,chelsea-finn,Chelsea Finn,Chelsea Finn,"Associate Professor, Stanford; Co-founder, Physical Intelligence",斯坦福大学副教授；Physical Intelligence 联合创始人,Stanford / Physical Intelligence,United States,embodied,t4,34.3,87,1,Physical Intelligence|MAML|Meta-learning|Robot learning|Stanford
67,jurgen-schmidhuber,Jürgen Schmidhuber,Jürgen Schmidhuber,"Director of the AI Initiative & Co-chair, GenAI Center of Excellence, KAUST",KAUST AI 倡议主任；生成式 AI 卓越中心联席主席,KAUST,Germany / Saudi Arabia,research,t4,33.3,44,1,KAUST|LSTM|Gödel Machine|Meta-learning|Self-improvement
68,ian-goodfellow,Ian Goodfellow,Ian Goodfellow,"Research Scientist, Google DeepMind",Google DeepMind 研究科学家,Google DeepMind,United States,lab,t4,33.2,52,0,Google DeepMind|GAN|Deep Learning book|Fusion|Factuality
69,pieter-abbeel,Pieter Abbeel,Pieter Abbeel,"Head of Frontier Model Research, Amazon; Professor, UC Berkeley",Amazon 前沿模型研究负责人；UC Berkeley 教授,Amazon / UC Berkeley,United States / Belgium,embodied,t4,33.1,49,2,Amazon FMR|Covariant|Deep RL|Robotics|Berkeley
70,zhu-jun,Zhu Jun,朱军,"Professor, Tsinghua University; Chief Scientist, Shengshu Technology",清华大学教授；生数科技首席科学家,Shengshu / Tsinghua,China,embodied,t4,32.4,30,11,Shengshu|Vidu|Diffusion|World models|Bayesian DL
71,tri-dao,Tri Dao,Tri Dao,"Assistant Professor, Princeton; Chief Scientist, Together AI",普林斯顿大学助理教授；Together AI 首席科学家,Princeton / Together AI,United States / Vietnam,research,t4,32.3,73,1,FlashAttention|Mamba|Together AI|Princeton|Kernels
72,yin-qi,Yin Qi,印奇,"Chairman & CTO, Qianli Technology; Chairman, StepFun; Founder, Megvii",千里科技董事长兼 CTO；阶跃星辰董事长；旷视科技创始人,Qianli / StepFun,China,product,t4,32.2,12,43,Qianli Technology|StepFun|Megvii|Autonomous driving|Dual chairman
73,eric-xing,Eric Xing,邢波,"President, MBZUAI; Professor, CMU",MBZUAI 校长；CMU 教授,MBZUAI / CMU,UAE / United States,research,t5,32.1,70,2,MBZUAI|Petuum|K2 Think|Sovereign AI|Distributed ML
74,shunyu-yao,Shunyu Yao,姚顺雨,"Chief AI Scientist, Tencent",腾讯首席 AI 科学家,Tencent,China / United States,lab,t5,31.8,37,56,Tencent|Hunyuan|ReAct|Tree of Thoughts|SWE-bench|Agents
75,kai-yu,Kai Yu,余凯,"Founder & CEO, Horizon Robotics",地平线 Horizon Robotics 创始人兼 CEO,Horizon Robotics,China,embodied,t5,31.3,18,88,Horizon Robotics|Journey|Horizon Starry|Automotive AI|Chips
76,wojciech-zaremba,Wojciech Zaremba,Wojciech Zaremba,"Head of AI Resilience, OpenAI Foundation",OpenAI Foundation AI Resilience 负责人,OpenAI Foundation,United States / Poland,lab,t5,30.3,31,1,OpenAI|OpenAI Gym|Alignment|Resilience|Robotics
77,sergey-levine,Sergey Levine,Sergey Levine,"Associate Professor, UC Berkeley; Co-founder, Physical Intelligence",UC Berkeley 副教授；Physical Intelligence 联合创始人,UC Berkeley / Physical Intelligence,United States,embodied,t5,29.8,73,1,Physical Intelligence|π0|Robot learning|VLA|Berkeley
78,jitendra-malik,Jitendra Malik,Jitendra Malik,"Arthur J. Chick Professor, UC Berkeley; Research Director, Meta FAIR",UC Berkeley Arthur J. Chick 讲席教授；Meta FAIR 研究总监,UC Berkeley / Meta FAIR,United States / India,research,t5,29.8,79,0,UC Berkeley|Meta FAIR|Normalized cuts|R-CNN|Embodied vision
79,bowen-zhou,Bowen Zhou,周伯文,"Director & Chief Scientist, Shanghai AI Laboratory; Chair Professor, Tsinghua",上海人工智能实验室主任兼首席科学家；清华大学惠妍讲席教授,Shanghai AI Lab,China,lab,t5,29.7,28,20,Shanghai AI Lab|InternLM|Intern-S1|AI4S|AI Safety
80,denny-zhou,Denny Zhou,周登勇,Meta Superintelligence Labs,Meta 超级智能实验室,Meta,United States / China,lab,t5,29.3,64,2,Meta MSL|Least-to-Most|Self-Consistency|Reasoning|Google Brain
81,daphne-koller,Daphne Koller,Daphne Koller,"Founder & CEO, insitro",insitro 创始人兼 CEO,insitro,United States / Israel,embodied,t5,29.2,60,1,insitro|TherML|Drug discovery|Coursera|Probabilistic models
82,michael-jordan,Michael I. Jordan,Michael I. Jordan,"Senior Researcher, Inria Paris; Distinguished Professor Emeritus, UC Berkeley",Inria Paris 资深研究员；UC Berkeley 荣休杰出教授,Inria / UC Berkeley,France / United States,research,t5,27.3,32,2,Inria|Variational inference|Graphical models|Markets & ML|Statistics
83,wang-xiaochuan,Wang Xiaochuan,王小川,"Founder & CEO, Baichuan Intelligence",百川智能创始人兼 CEO,Baichuan,China,product,t5,26.9,12,18,Baichuan|Medical AI|HealthBench|M4|Sogou
84,zhang-peng,Zhang Peng,张鹏,"CEO, Z.ai (Zhipu AI)",智谱 Z.ai CEO,Z.ai (Zhipu AI),China,lab,t5,26.6,4,7,Z.ai|GLM|Enterprise|Government|IPO
85,percy-liang,Percy Liang,Percy Liang,"Associate Professor, Stanford; Director, Center for Research on Foundation Models",斯坦福大学副教授；基础模型研究中心主任,Stanford CRFM,United States,research,t5,26.4,80,2,Stanford CRFM|HELM|Foundation models|Evaluation|Transparency
86,albert-gu,Albert Gu,Albert Gu,"Assistant Professor, CMU; Co-founder & Chief Scientist, Cartesia",CMU 助理教授；Cartesia 联合创始人兼首席科学家,CMU / Cartesia,United States,research,t5,26.3,66,0,Mamba|S4|State space models|Cartesia|Voice
87,robin-rombach,Robin Rombach,Robin Rombach,"Co-founder & CEO, Black Forest Labs",Black Forest Labs 联合创始人兼 CEO,Black Forest Labs,Germany,product,t5,26.1,30,2,Black Forest Labs|FLUX.2|Stable Diffusion|Latent diffusion
88,jason-wei,Jason Wei,Jason Wei,Meta Superintelligence Labs,Meta 超级智能实验室,Meta,United States,lab,t5,24.8,89,1,Meta MSL|Chain-of-Thought|FLAN|Emergence|o3|Deep Research
89,yi-ma,Yi Ma,马毅,"Director, School of Computing & Data Science, HKU; Visiting Professor, UC Berkeley",香港大学计算与数据科学学院院长；UC Berkeley EECS 访问教授,HKU / UC Berkeley,China (Hong Kong) / United States,research,t6,24.1,39,11,HKU|White-box|ReduNet|Rate reduction|Theory
90,cristobal-valenzuela,Cristóbal Valenzuela,Cristóbal Valenzuela,"Co-founder & Co-CEO, Runway",Runway 联合创始人兼联席 CEO,Runway,United States / Chile,product,t6,22.8,29,1,Runway|Gen series|World models|Video|Film
91,hongxia-yang,Hongxia Yang,杨红霞,"Associate Dean & Chair Professor of Generative AI, Hong Kong PolyU; Executive Director, PolyU Academy for AI",香港理工大学计算及数学科学学院副院长、生成式人工智能讲座教授；PolyU AI 研究院执行主任,HK PolyU,China (Hong Kong),research,t6,22.6,26,10,HK PolyU|PAAI|M6|Multimodal|Trillion-parameter
92,song-han,Song Han,韩松,"Associate Professor, MIT EECS; Lead of Efficient AI, NVIDIA Research",MIT EECS 副教授；NVIDIA Research Efficient AI 团队负责人,MIT / NVIDIA,United States / China,research,t6,21.6,60,1,MIT|NVIDIA|Deep Compression|AWQ|SmoothQuant|TinyChat
93,christopher-manning,Christopher Manning,Christopher Manning,"Thomas M. Siebel Professor in Machine Learning, Stanford (former SAIL Director)",斯坦福 Thomas M. Siebel 机器学习讲席教授（前 SAIL 主任）,Stanford,United States / Australia,research,t6,20.5,30,2,Stanford|GloVe|NLP|SAIL|Linguistics
94,david-luan,David Luan,David Luan,"Founder, new venture (stealth)",新创业公司创始人（未公开）,Stealth,United States,lab,t6,18.2,12,4,Adept|AI Agents|Stealth|New venture
95,harry-shum,Harry Shum,沈向洋,"Founding Chairman, IDEA; Council Chairman, HKUST",IDEA 研究院创始理事长；香港科技大学校董会主席,IDEA / HKUST,China (Hong Kong),research,t6,17.4,25,3,IDEA|HKUST|Microsoft Research Asia|Computer vision
96,nathan-lambert,Nathan Lambert,Nathan Lambert,Open model research (new venture); author of Interconnects,开放模型研究（新机构）；Interconnects 作者,Interconnects,United States,product,t6,17.0,65,1,OLMo|Tulu|RLHF|Post-training|Interconnects
97,eric-steinberger,Eric Steinberger,Eric Steinberger,"Co-founder & CEO, Magic.dev",Magic.dev 联合创始人兼 CEO,Magic.dev,United States / Austria,product,t6,13.1,10,1,Magic.dev|Ultra-long context|Code generation|LTM
98,dai-wenyuan,Dai Wenyuan,戴文渊,"Founder, Chairman & CEO, 4Paradigm",第四范式 4Paradigm 创始人、董事长兼 CEO,4Paradigm,China,product,t6,10.6,14,2,4Paradigm|AI to B|Transfer learning|Enterprise agents
99,haixun-wang,Haixun Wang,王海勋,"VP of Engineering & Head of AI, EvenUp; Affiliate Professor, University of Washington",EvenUp 工程副总裁兼 AI 负责人；华盛顿大学兼职教授,EvenUp / UW,United States / China,product,t6,8.3,45,1,EvenUp|Probase|Knowledge graphs|IEEE Data Eng. Bulletin|VLDB
100,rohit-prasad,Rohit Prasad,Rohit Prasad,"Formerly SVP & Head Scientist, Amazon AGI",前 Amazon AGI 高级副总裁兼首席科学家,—,United States / India,platform,t6,4.7,29,2,Amazon|Alexa|Nova|Trainium|Departed
